,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
183,0.816,0.758,3,-4.249,0,0.0467,0.342,0.0,0.349,0.79,102.983,6xZbRSkdowxgRj6U8qQF1b
184,0.807,0.664,8,-4.543,1,0.0611,0.0602,0.0,0.0668,0.812,109.039,4ayr28xOK5Jp5Ag1vNMopT
185,0.714,0.886,0,-3.076,1,0.0461,0.058,0.0,0.112,0.752,125.046,3CEs5Jnov3YkmYn0Vezrcr
186,0.749,0.85,0,-4.346,1,0.0468,0.0319,4.81e-05,0.0678,0.672,145.983,5EzitieoPnjyKHAq0gfRMa
187,0.843,0.807,1,-3.794,0,0.0632,0.0135,6.44e-05,0.227,0.833,104.962,3VC1IEz9M1txlMSx3h3tPM
188,0.709,0.917,9,-3.315,1,0.189,0.0409,0.0,0.0839,0.515,125.042,7nKQ5WAcjnG48knyLuo8gO
189,0.598,0.775,1,-4.035,0,0.0545,0.022,0.0,0.0677,0.687,129.819,5SE57ljOIUJ1ybL9U6CuBH
190,0.756,0.922,1,-2.683,1,0.0539,0.0615,0.000462,0.0723,0.809,100.005,1ZgfAxHQCXLt8o1VXEHHAt
191,0.786,0.853,8,-2.687,1,0.0816,0.0688,0.0,0.0759,0.45,125.034,1Zyd6zQnC6XIIzmg3hP7Ot
192,0.592,0.961,4,-1.807,1,0.096,0.0423,0.0,0.0882,0.508,109.826,56bHclo7YNvpujMveLElQn
193,0.839,0.617,7,-4.692,1,0.331,0.241,0.0,0.3,0.821,143.894,4as4XEOR03oGm1STUKl6pa
194,0.746,0.898,3,-2.818,0,0.0725,0.0526,0.0,0.0858,0.879,121.967,1Rrj7KyS2R6SP9CQMDJW1w
195,0.74,0.804,3,-2.187,1,0.0546,0.411,0.0,0.0578,0.791,150.013,7nkp1uuSbKkoxMvEs8cSw0
196,0.823,0.837,1,-4.533,1,0.0582,0.19,0.0,0.28,0.842,107.989,5G8YqJQ6oyPkxBSjpkCVRy
197,0.702,0.922,9,-0.961,0,0.146,0.322,0.0,0.367,0.619,100.032,7BiaLnXa10sBpBEcFfm4PP
198,0.735,0.849,4,-4.308,0,0.129,0.212,2.94e-05,0.0608,0.223,125.972,2YkjXEab4USTV9uuAgC90E
